DataCenter_Code,Operator,Address,Zipcode,CountyName,First_Operation_Permit,Housing_Avg_Price,Housing_Avg_Price_Before_Permit,Housing_Avg_Price_After_Permit,HC_Score_Before,HC_Score_After,Housing_Change,HC_Score_Change,Complete
DC17,Microsoft,Higgins Rd & Illinois,60010,Lake County,2022,568859.1948838737,517387.9991167667,587874.8772020288,3.0044352922540787,2.8067596363930623,70486.87809,-0.197675656,1
DC18,CloudHQ,1200 E Algonquin Rd,60016,Cook County,2015,179377.5023064474,167194.97835397508,194076.4085842284,4.602666358417139,4.410122338,26881.43023,-0.19254402,1
DC19,Iron Mountain Data Centers,1680 Touhy Avenue,60018,Cook County,2023,311565.3499,299446.65614736004,336976.8079034884,4.388662045389801,4.458038848584133,37530.15176,0.069376803,1
DC20,DataBank,800 E Business Center Dr,60056,Cook County,2016,274721.9887534774,259870.63674235277,286537.4501427314,4.411507261112708,4.452524172347725,26666.8134,0.041016911,1
DC21,Meta,1550 Metaverse Wy,60115,DeKalb County,2020,160686.62024517742,156081.216,178695.34946548034,4.456837505904582,4.491961970613656,22614.1335,0.035124465,1
DC22,Digital Realty,2425-2553 Edgington St,60131,Cook County,2013,122272.44174974858,114321.3569,140781.23149173474,4.497160364668958,4.519947487418861,26459.87462,0.022787123,1
DC23,TierPoint,9333 West Grand Ave.,60131,Cook County,2013,122272.44174974858,114321.3569,140781.23149173474,4.497160364668958,4.519947487418861,26459.87462,0.022787123,1
DC24,"NTT DATA, Inc.",275 Pierce Rd,60143,DuPage County,2020,321202.0533,317608.4458185733,343686.8838,4.397310513447433,4.4597138192643815,26078.43801,0.062403306,1
DC25,Digital Fortress / Wovering Trading,360 E 22nd St.,60148,DuPage County,2015,227708.96371430036,221791.0404570956,233977.32732015048,4.712174928351555,4.5733869897846375,12186.28686,-0.138787939,1
DC26,Amazon,"Portage, IN",60148,DuPage County,2023,314621.9389028909,306212.34399258334,336388.9359073918,4.460817029815263,4.3963767651520005,30176.59191,-0.064440265,1
DC27,Microsoft,601-605 Northwest Ave,60164,Cook County,2014,124864.61840262834,105601.90277611512,134150.89763076857,4.463664703844822,4.558929812369701,28548.99485,0.095265109,1
DC28,Digital Realty,505 North Railroad Avenue,60164,Cook County,2018,181938.18684312017,165397.8816950571,189013.08458607655,4.535989070252391,4.570563079116179,23615.20289,0.034574009,1
DC29,Aligned Data Centers,505 Northwest Avenue,60164,Cook County,2021,228065.79038884133,199701.06782980752,250830.1826319718,4.613788896,4.609110657626226,51129.1148,-0.004678238,1
DC30,Element Critical,341 Haynes Dr,60191,DuPage County,2007,269881.48201921623,267142.7129582022,250413.97255273667,,,-16728.74041,0,0
DC31,Element Critical,711 N. Edgewood Ave.,60191,DuPage County,2008,250413.97255273667,269881.48201921623,221254.15679432236,,,-48627.32522,0,0
DC32,Edged Energy,2725 Bilter Rd,60502,DuPage County,2024,386964.3960080263,359112.4557586996,401825.3994320011,4.046809174598221,3.958820824605324,42712.94367,-0.08798835,1
DC33,"NaviSite, Inc. / NYI",800 Jorie Blvd,60523,DuPage County,2010,624771.5796429164,643116.3789229739,577993.4909048299,,,-65122.88802,0,0
DC34,DataBank,1808 Swift Dr,60523,DuPage County,2014,633550.5863487319,589519.4880371203,655355.9075571622,4.490067484,4.520720045002813,65836.41952,0.030652561,1
DC35,CenterSquare,4513 Western Ave,60532,DuPage County,2000,192038.9002588004,,207750.46655418267,,,207750.4666,0,0
DC36,"XNet Information Systems, Inc. / Cyrus One",3080 Ogden Ave,60532,DuPage County,2017,277640.0494860511,269172.3703567427,287347.8282579959,4.428894337598652,4.449986601845118,18175.4579,0.021092264,1
DC37,CoreSite,400 S LaSalle St,60605,Cook County,2013,331597.8912553254,304450.10652814107,373106.48706888873,4.6084614885471415,4.607120876415559,68656.38054,-0.001340612,1
DC38,Digital Realty,600 South Federal Street,60605,Cook County,2018,374427.9126826267,393872.9828414528,359172.53383591515,3.922633208408017,3.887551197716272,-34700.44901,-0.035082011,1
DC39,Sinch / Digital Capital Partners,717 S Wells St,60607,Cook County,2010,363430.7539613269,378413.4554336458,343504.7852652031,,,-34908.67017,0,0
DC40,TierPoint,601 W. Polk St.,60607,Cook County,2016,442464.4280273055,418693.9237875478,467744.4863331558,4.380026497654599,4.329976895755026,49050.56255,-0.050049602,1
DC41,Serverfarm,840 S. Canal Street,60607,Cook County,2016,442464.4280273055,418693.9237875478,467744.4863331558,4.380026497654599,4.329976895755026,49050.56255,-0.050049602,1
DC42,QTS Data Centers,2800 S. Ashland Ave,60608,Cook County,2015,247205.2554472865,233895.84332244785,267593.5725624484,4.237846373651164,4.134768800332716,33697.72924,-0.103077573,1
DC43,Lumen /  / DXC Technology,350 E Cermark Road,60616,Cook County,2011,269525.88901651883,296415.4815672164,235370.2048189709,,4.284668011577931,-61045.27675,4.284668012,1
DC44,Related Digital / Digital Crossroad,8080 S DuSable Lake Shore Dr,60617,Cook County,2020,127050.1144604516,119677.21141418869,151636.89928598076,4.183918606233837,4.194278020868395,31959.68787,0.010359415,1
DC45,"Cogent Communications, Inc. / QTS",4200 W 40th St,60632,Cook County,2015,131779.17372144773,117424.60075679891,146522.08288997874,4.450140477226861,4.324059742296018,29097.48213,-0.126080735,1
